1,1-5,1-10,1-20,1-40,*
2,1-5,1-10,1-20,1-40,*
3,1-5,1-10,1-20,1-40,*
4,1-5,1-10,1-20,1-40,*
5,1-5,1-10,1-20,1-40,*
6,6-10,1-10,1-20,1-40,*
7,6-10,1-10,1-20,1-40,*
8,6-10,1-10,1-20,1-40,*
9,6-10,1-10,1-20,1-40,*
10,6-10,1-10,1-20,1-40,*
11,11-15,11-20,1-20,1-40,*
12,11-15,11-20,1-20,1-40,*
13,11-15,11-20,1-20,1-40,*
14,11-15,11-20,1-20,1-40,*
15,11-15,11-20,1-20,1-40,*
16,16-20,11-20,1-20,1-40,*
17,16-20,11-20,1-20,1-40,*
18,16-20,11-20,1-20,1-40,*
19,16-20,11-20,1-20,1-40,*
20,16-20,11-20,1-20,1-40,*
21,21-25,21-30,21-40,1-40,*
22,21-25,21-30,21-40,1-40,*
23,21-25,21-30,21-40,1-40,*
24,21-25,21-30,21-40,1-40,*
25,21-25,21-30,21-40,1-40,*
26,26-30,21-30,21-40,1-40,*
27,26-30,21-30,21-40,1-40,*
28,26-30,21-30,21-40,1-40,*
29,26-30,21-30,21-40,1-40,*
30,26-30,21-30,21-40,1-40,*
31,31-35,31-40,21-40,1-40,*
32,31-35,31-40,21-40,1-40,*
33,31-35,31-40,21-40,1-40,*
34,31-35,31-40,21-40,1-40,*
35,31-35,31-40,21-40,1-40,*
36,36-40,31-40,21-40,1-40,*
37,36-40,31-40,21-40,1-40,*
38,36-40,31-40,21-40,1-40,*
39,36-40,31-40,21-40,1-40,*
40,36-40,31-40,21-40,1-40,*
41,41-45,41-50,41-60,41-100,*
42,41-45,41-50,41-60,41-100,*
43,41-45,41-50,41-60,41-100,*
44,41-45,41-50,41-60,41-100,*
45,41-45,41-50,41-60,41-100,*
46,46-50,41-50,41-60,41-100,*
47,46-50,41-50,41-60,41-100,*
48,46-50,41-50,41-60,41-100,*
49,46-50,41-50,41-60,41-100,*
50,46-50,41-50,41-60,41-100,*
51,51-55,51-60,41-60,41-100,*
52,51-55,51-60,41-60,41-100,*
53,51-55,51-60,41-60,41-100,*
54,51-55,51-60,41-60,41-100,*
55,51-55,51-60,41-60,41-100,*
56,56-60,51-60,41-60,41-100,*
57,56-60,51-60,41-60,41-100,*
58,56-60,51-60,41-60,41-100,*
59,56-60,51-60,41-60,41-100,*
60,56-60,51-60,41-60,41-100,*
61,61-65,61-70,61-80,41-100,*
62,61-65,61-70,61-80,41-100,*
63,61-65,61-70,61-80,41-100,*
64,61-65,61-70,61-80,41-100,*
65,61-65,61-70,61-80,41-100,*
66,66-70,61-70,61-80,41-100,*
67,66-70,61-70,61-80,41-100,*
68,66-70,61-70,61-80,41-100,*
69,66-70,61-70,61-80,41-100,*
70,66-70,61-70,61-80,41-100,*
71,71-75,71-80,61-80,41-100,*
72,71-75,71-80,61-80,41-100,*
73,71-75,71-80,61-80,41-100,*
74,71-75,71-80,61-80,41-100,*
75,71-75,71-80,61-80,41-100,*
76,76-80,71-80,61-80,41-100,*
77,76-80,71-80,61-80,41-100,*
78,76-80,71-80,61-80,41-100,*
79,76-80,71-80,61-80,41-100,*
80,76-80,71-80,61-80,41-100,*
81,81-85,81-90,81-100,41-100,*
82,81-85,81-90,81-100,41-100,*
83,81-85,81-90,81-100,41-100,*
84,81-85,81-90,81-100,41-100,*
85,81-85,81-90,81-100,41-100,*
86,86-90,81-90,81-100,41-100,*
87,86-90,81-90,81-100,41-100,*
88,86-90,81-90,81-100,41-100,*
89,86-90,81-90,81-100,41-100,*
90,86-90,81-90,81-100,41-100,*
91,91-95,91-100,81-100,41-100,*
92,91-95,91-100,81-100,41-100,*
93,91-95,91-100,81-100,41-100,*
94,91-95,91-100,81-100,41-100,*
95,91-95,91-100,81-100,41-100,*
96,96-100,91-100,81-100,41-100,*
97,96-100,91-100,81-100,41-100,*
98,96-100,91-100,81-100,41-100,*
99,96-100,91-100,81-100,41-100,*
100,96-100,91-100,81-100,41-100,*
